"species","family","genus","garden","pres"
"Abelia mosanensis","Caprifoliaceae","Zabelia","fr",1
"Abeliophyllum distichum","Oleaceae","Abeliophyllum","fr",1
"Abelmoschus esculentus","Malvaceae","Abelmoschus","fr",1
"Abelmoschus manihot","Malvaceae","Abelmoschus","fr",1
"Abelmoschus moschatus","Malvaceae","Abelmoschus","fr",1
"Abies alba","Pinaceae","Abies","fr",1
"Abies koreana","Pinaceae","Abies","fr",1
"Abies nordmanniana","Pinaceae","Abies","fr",1
"Abies numidica","Pinaceae","Abies","fr",1
"Abies pinsapo","Pinaceae","Abies","fr",1
"Abies procera","Pinaceae","Abies","fr",1
"Abroma augustum","Malvaceae","Abroma","fr",1
"Abrus precatorius","Fabaceae","Abrus","fr",1
"Abrus precatorius","Fabaceae","Abrus","fr",1
"Abutilon grandifolium","Malvaceae","Abutilon","fr",1
"Abutilon theophrasti","Malvaceae","Abutilon","fr",1
"Acacia karroo","Fabaceae","Vachellia","fr",1
"Acacia senegal","Fabaceae","Senegalia","fr",1
"Acaena buchananii","Rosaceae","Acaena","fr",1
"Acaena ovina","Rosaceae","Acaena","fr",1
"Acaena microphylla","Rosaceae","Acaena","fr",1
"Acaena ovina","Rosaceae","Acaena","fr",1
"Acaena pinnatifida","Rosaceae","Acaena","fr",1
"Acalypha hispida","Euphorbiaceae","Acalypha","fr",1
"Acantholimon armenum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon armenum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon glumaceum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon glumaceum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon olivieri","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon ulicinum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon ulicinum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon ulicinum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon venustum","Plumbaginaceae","Acantholimon","fr",1
"Acanthus hungaricus","Acanthaceae","Acanthus","fr",1
"Acanthus montanus","Acanthaceae","Acanthus","fr",1
"Acanthus spinosus","Acanthaceae","Acanthus","fr",1
"Acer buergerianum","Sapindaceae","Acer","fr",1
"Acer campestre","Sapindaceae","Acer","fr",1
"Acer capillipes","Sapindaceae","Acer","fr",1
"Acer cappadocicum","Sapindaceae","Acer","fr",1
"Acer carpinifolium","Sapindaceae","Acer","fr",1
"Acer cissifolium","Sapindaceae","Acer","fr",1
"Acer davidii","Sapindaceae","Acer","fr",1
"Acer griseum","Sapindaceae","Acer","fr",1
"Acer hyrcanum","Sapindaceae","Acer","fr",1
"Acer japonicum","Sapindaceae","Acer","fr",1
"Acer mono","Sapindaceae","Acer","fr",1
"Acer monspessulanum","Sapindaceae","Acer","fr",1
"Acer negundo","Sapindaceae","Acer","fr",1
"Acer opalus","Sapindaceae","Acer","fr",1
"Acer palmatum","Sapindaceae","Acer","fr",1
"Acer palmatum","Sapindaceae","Acer","fr",1
"Acer palmatum","Sapindaceae","Acer","fr",1
"Acer platanoides","Sapindaceae","Acer","fr",1
"Acer pseudoplatanus","Sapindaceae","Acer","fr",1
"Acer rufinerve","Sapindaceae","Acer","fr",1
"Acer saccharinum","Sapindaceae","Acer","fr",1
"Acer saccharum","Sapindaceae","Acer","fr",1
"Acer saccharum","Sapindaceae","Acer","fr",1
"Acer sempervirens","Sapindaceae","Acer","fr",1
"Acer tataricum","Sapindaceae","Acer","fr",1
"Acer tataricum","Sapindaceae","Acer","fr",1
"Achillea clypeolata","Asteraceae","Achillea","fr",1
"Achillea collina","Asteraceae","Achillea","fr",1
"Achillea collina","Asteraceae","Achillea","fr",1
"Achillea filipendulina","Asteraceae","Achillea","fr",1
"Achillea macrophylla","Asteraceae","Achillea","fr",1
"Achillea macrophylla","Asteraceae","Achillea","fr",1
"Achillea millefolium","Asteraceae","Achillea","fr",1
"Achillea millefolium","Asteraceae","Achillea","fr",1
"Achillea nobilis","Asteraceae","Achillea","fr",1
"Achillea ptarmica","Asteraceae","Achillea","fr",1
"Achillea sericea","Asteraceae","Achillea","fr",1
"Achillea setacea","Asteraceae","Achillea","fr",1
"Achillea tomentosa","Asteraceae","Achillea","fr",1
"Achillea umbellata","Asteraceae","Achillea","fr",1
"Achimenes erecta","Gesneriaceae","Achimenes","fr",1
"Achnatherum calamagrostis","Poaceae","Achnatherum","fr",1
"Acinos alpinus","Lamiaceae","Clinopodium","fr",1
"Acinos arvensis","Lamiaceae","Clinopodium","fr",1
"Acis rosea","Amaryllidaceae","Acis","fr",1
"Acis valentina","Amaryllidaceae","Acis","fr",1
"Acmella oleracea","Asteraceae","Acmella","fr",1
"Acmella oleracea","Asteraceae","Acmella","fr",1
"Aconitum anthora","Ranunculaceae","Aconitum","fr",1
"Aconitum anthora","Ranunculaceae","Aconitum","fr",1
"Aconitum carmichaelii","Ranunculaceae","Aconitum","fr",1
"Aconitum vulparia","Ranunculaceae","Aconitum","fr",1
"Aconitum forrestii","Ranunculaceae","Aconitum","fr",1
"Aconitum yamazakii","Ranunculaceae","Aconitum","fr",1
"Aconitum napellus","Ranunculaceae","Aconitum","fr",1
"Aconitum napellus","Ranunculaceae","Aconitum","fr",1
"Aconitum anthora","Ranunculaceae","Aconitum","fr",1
"Aconitum variegatum","Ranunculaceae","Aconitum","fr",1
"Aconitum variegatum","Ranunculaceae","Aconitum","fr",1
"Aconitum vulparia","Ranunculaceae","Aconitum","fr",1
"Acorus calamus","Acoraceae","Acorus","fr",1
"Acorus calamus","Acoraceae","Acorus","fr",1
"Acorus calamus","Acoraceae","Acorus","fr",1
"Acorus gramineus","Acoraceae","Acorus","fr",1
"Acorus gramineus","Acoraceae","Acorus","fr",1
"Macroclinium roseum","Asteraceae","Macroclinium","fr",1
"Actaea lata","Ranunculaceae","Pseudoliomera","fr",1
"Actinidia arguta","Actinidiaceae","Actinidia","fr",1
"Actinidia chinensis","Actinidiaceae","Actinidia","fr",1
"Actinidia kolomikta","Actinidiaceae","Actinidia","fr",1
"Actinidia polygama","Actinidiaceae","Actinidia","fr",1
"Adansonia digitata","Malvaceae","Adansonia","fr",1
"Adansonia digitata","Malvaceae","Adansonia","fr",1
"Adenophora liliifolia","Campanulaceae","Adenophora","fr",1
"Adenophora liliifolia","Campanulaceae","Adenophora","fr",1
"Adenostyles alliariae","Asteraceae","Adenostyles","fr",1
"Cicerbita alpina","Asteraceae","Cicerbita","fr",1
"Adiantum pedatum","Pteridaceae","Adiantum","fr",1
"Adonis aestivalis","Ranunculaceae","Adonis","fr",1
"Adonis pyrenaica","Ranunculaceae","Adonis","fr",1
"Adonis vernalis","Ranunculaceae","Adonis","fr",1
"Adonis vernalis","Ranunculaceae","Adonis","fr",1
"Adonis vernalis","Ranunculaceae","Adonis","fr",1
"Adonis vernalis","Ranunculaceae","Adonis","fr",1
"Adonis vernalis","Ranunculaceae","Adonis","fr",1
"Adoxa moschatellina","Adoxaceae","Adoxa","fr",1
"Adoxa moschatellina","Adoxaceae","Adoxa","fr",1
"Aechmea fasciata","Bromeliaceae","Aechmea","fr",1
"Aechmea fasciata","Bromeliaceae","Aechmea","fr",1
"Aechmea fulgens","Bromeliaceae","Aechmea","fr",1
"Aechmea fulgens","Bromeliaceae","Aechmea","fr",1
"Aechmea fulgens","Bromeliaceae","Aechmea","fr",1
"Aechmea fulgens","Bromeliaceae","Aechmea","fr",1
"Aechmea lueddemanniana","Bromeliaceae","Aechmea","fr",1
"Aegilops ovata","Poaceae","Aegilops","fr",1
"Aegilops speltoides","Poaceae","Aegilops","fr",1
"Aegilops tauschii","Poaceae","Aegilops","fr",1
"Aegilops ventricosa","Poaceae","Aegilops","fr",1
"Aegopodium podagraria","Apiaceae","Aegopodium","fr",1
"Aeonium arboreum","Crassulaceae","Aeonium","fr",1
"Aeonium arboreum","Crassulaceae","Aeonium","fr",1
"Aeonium canariense","Crassulaceae","Aeonium","fr",1
"Aeonium canariense","Crassulaceae","Aeonium","fr",1
"Aeonium haworthii","Crassulaceae","Aeonium","fr",1
"Aeonium haworthii","Crassulaceae","Aeonium","fr",1
"Aeonium arboreum","Crassulaceae","Aeonium","fr",1
"Aeonium mascaense","Crassulaceae","Aeonium","fr",1
"Aeonium sedifolium","Crassulaceae","Aeonium","fr",1
"Aeonium simsii","Crassulaceae","Aeonium","fr",1
"Aeonium spathulatum","Crassulaceae","Aeonium","fr",1
"Aeonium urbicum","Crassulaceae","Aeonium","fr",1
"Aeonium urbicum","Crassulaceae","Aeonium","fr",1
"Aerangis articulata","Orchidaceae","Aerangis","fr",1
"Aerangis articulata","Orchidaceae","Aerangis","fr",1
"Aerangis biloba","Orchidaceae","Aerangis","fr",1
"Aerangis citrata","Orchidaceae","Aerangis","fr",1
"Aerangis kirkii","Orchidaceae","Aerangis","fr",1
"Aerangis mystacidii","Orchidaceae","Aerangis","fr",1
"Aerangis punctata","Orchidaceae","Aerangis","fr",1
"Aeschynanthus fulgens","Gesneriaceae","Aeschynanthus","fr",1
"Aeschynanthus longicaulis","Gesneriaceae","Aeschynanthus","fr",1
"Aeschynanthus radicans","Gesneriaceae","Aeschynanthus","fr",1
"Aesculus flava","Sapindaceae","Aesculus","fr",1
"Aesculus hippocastanum","Sapindaceae","Aesculus","fr",1
"Aesculus hippocastanum","Sapindaceae","Aesculus","fr",1
"Aesculus parviflora","Sapindaceae","Aesculus","fr",1
"Aesculus parviflora","Sapindaceae","Aesculus","fr",1
"Aesculus flava","Sapindaceae","Aesculus","fr",1
"Aethionema grandiflorum","Brassicaceae","Aethionema","fr",1
"Aethionema oppositifolium","Brassicaceae","Noccaea","fr",1
"Aethionema saxatile","Brassicaceae","Aethionema","fr",1
"Aethionema thomasianum","Brassicaceae","Aethionema","fr",1
"Aethusa cynapium","Apiaceae","Aethusa","fr",1
"Aframomum melegueta","Zingiberaceae","Aframomum","fr",1
"Agastache pallidiflora","Lamiaceae","Agastache","fr",1
"Agastache rugosa","Lamiaceae","Agastache","fr",1
"Agave sisalana","Asparagaceae","Agave","fr",1
"Ageratina altissima","Asteraceae","Ageratina","fr",1
"Ageratum houstonianum","Asteraceae","Ageratum","fr",1
"Aglaonema commutatum","Araceae","Aglaonema","fr",1
"Aglaonema modestum","Araceae","Aglaonema","fr",1
"Agrimonia eupatoria","Rosaceae","Agrimonia","fr",1
"Agrimonia eupatoria","Rosaceae","Agrimonia","fr",1
"Agrimonia procera","Rosaceae","Agrimonia","fr",1
"Agropyron repens","Poaceae","Elymus","fr",1
"Agrostemma githago","Caryophyllaceae","Agrostemma","fr",1
"Agrostis capillaris","Poaceae","Agrostis","fr",1
"Aichryson laxum","Crassulaceae","Aichryson","fr",1
"Ajuga pyramidalis","Lamiaceae","Ajuga","fr",1
"Ajuga reptans","Lamiaceae","Ajuga","fr",1
"Akebia quinata","Lardizabalaceae","Akebia","fr",1
"Akebia quinata","Lardizabalaceae","Akebia","fr",1
"Akebia trifoliata","Lardizabalaceae","Akebia","fr",1
"Albizia julibrissin","Fabaceae","Albizia","fr",1
"Albuca bracteata","Asparagaceae","Albuca","fr",1
"Albuca bracteata","Asparagaceae","Albuca","fr",1
"Alcea rosea","Malvaceae","Alcea","fr",1
"Alchemilla alpina","Rosaceae","Alchemilla","fr",1
"Alchemilla conjuncta","Rosaceae","Alchemilla","fr",1
"Alchemilla conjuncta","Rosaceae","Alchemilla","fr",1
"Alchemilla conjuncta","Rosaceae","Alchemilla","fr",1
"Alchemilla erythropoda","Rosaceae","Alchemilla","fr",1
"Alchemilla hybrida","Rosaceae","Alchemilla","fr",1
"Alchemilla mollis","Rosaceae","Alchemilla","fr",1
"Alchemilla plicatula","Rosaceae","Alchemilla","fr",1
"Alchemilla vulgaris","Rosaceae","Alchemilla","fr",1
"Alisma plantago-aquatica","Alismataceae","Alisma","fr",1
"Alkanna orientalis","Boraginaceae","Alkanna","fr",1
"Alliaria petiolata","Brassicaceae","Alliaria","fr",1
"Allium aflatunense","Amaryllidaceae","Allium","fr",1
"Allium altaicum","Amaryllidaceae","Allium","fr",1
"Allium ampeloprasum","Amaryllidaceae","Allium","fr",1
"Allium angulosum","Amaryllidaceae","Allium","fr",1
"Allium angulosum","Amaryllidaceae","Allium","fr",1
"Allium atropurpureum","Amaryllidaceae","Allium","fr",1
"Allium carinatum","Amaryllidaceae","Allium","fr",1
"Allium carinatum","Amaryllidaceae","Allium","fr",1
"Allium carolinianum","Amaryllidaceae","Allium","fr",1
"Allium cepa","Amaryllidaceae","Allium","fr",1
"Allium cepa","Amaryllidaceae","Allium","fr",1
"Allium cernuum","Amaryllidaceae","Allium","fr",1
"Allium cernuum","Amaryllidaceae","Allium","fr",1
"Allium christophii","Amaryllidaceae","Allium","fr",1
"Allium fistulosum","Amaryllidaceae","Allium","fr",1
"Allium flavum","Amaryllidaceae","Allium","fr",1
"Allium flavum","Amaryllidaceae","Allium","fr",1
"Allium giganteum","Amaryllidaceae","Allium","fr",1
"Allium insubricum","Amaryllidaceae","Allium","fr",1
"Allium karataviense","Amaryllidaceae","Allium","fr",1
"Allium lusitanicum","Amaryllidaceae","Allium","fr",1
"Allium lusitanicum","Amaryllidaceae","Allium","fr",1
"Allium lusitanicum","Amaryllidaceae","Allium","fr",1
"Allium moly","Amaryllidaceae","Allium","fr",1
"Allium narcissiflorum","Amaryllidaceae","Allium","fr",1
"Allium nigrum","Amaryllidaceae","Allium","fr",1
"Allium nigrum","Amaryllidaceae","Allium","fr",1
"Allium obliquum","Amaryllidaceae","Allium","fr",1
"Allium oleraceum","Amaryllidaceae","Allium","fr",1
"Allium oreophilum","Amaryllidaceae","Allium","fr",1
"Allium oschaninii","Amaryllidaceae","Allium","fr",1
"Allium paradoxum","Amaryllidaceae","Allium","fr",1
"Allium nigrum","Amaryllidaceae","Allium","fr",1
"Allium rosenbachianum","Amaryllidaceae","Allium","fr",1
"Allium sativum","Amaryllidaceae","Allium","fr",1
"Allium sativum","Amaryllidaceae","Allium","fr",1
"Allium schoenoprasum","Amaryllidaceae","Allium","fr",1
"Allium schubertii","Amaryllidaceae","Allium","fr",1
"Allium siculum","Amaryllidaceae","Allium","fr",1
"Allium sikkimense","Amaryllidaceae","Allium","fr",1
"Allium sphaerocephalon","Amaryllidaceae","Allium","fr",1
"Allium sphaerocephalon","Amaryllidaceae","Allium","fr",1
"Allium sphaerocephalon","Amaryllidaceae","Allium","fr",1
"Allium sphaerocephalon","Amaryllidaceae","Allium","fr",1
"Allium sphaerocephalon","Amaryllidaceae","Allium","fr",1
"Allium stipitatum","Amaryllidaceae","Allium","fr",1
"Allium tel-avivense","Amaryllidaceae","Allium","fr",1
"Allium triquetrum","Amaryllidaceae","Allium","fr",1
"Allium tuberosum","Amaryllidaceae","Allium","fr",1
"Allium tuberosum","Amaryllidaceae","Allium","fr",1
"Allium ursinum","Amaryllidaceae","Allium","fr",1
"Allium victorialis","Amaryllidaceae","Allium","fr",1
"Allium victorialis","Amaryllidaceae","Allium","fr",1
"Allium victorialis","Amaryllidaceae","Allium","fr",1
"Allium vineale","Amaryllidaceae","Allium","fr",1
"Allium carolinianum","Amaryllidaceae","Allium","fr",1
"Alnus glutinosa","Betulaceae","Alnus","fr",1
"Alnus incana","Betulaceae","Alnus","fr",1
"Alnus rugosa","Betulaceae","Alnus","fr",1
"Alnus viridis","Betulaceae","Alnus","fr",1
"Alnus viridis","Betulaceae","Alnus","fr",1
"Alocasia macrorrhiza","Araceae","Alocasia","fr",1
"Aloe arborescens","Asphodelaceae","Aloe","fr",1
"Aloe aristata","Asphodelaceae","Aristaloe","fr",1
"Aloe ciliaris","Asphodelaceae","Aloiampelos","fr",1
"Aloe ferox","Asphodelaceae","Aloe","fr",1
"Aloe perfoliata","Asphodelaceae","Aloe","fr",1
"Aloe secundiflora","Asphodelaceae","Aloe","fr",1
"Aloe arborescens","Asphodelaceae","Aloe","fr",1
"Aloe arborescens","Asphodelaceae","Aloe","fr",1
"Aloe arborescens","Asphodelaceae","Aloe","fr",1
"Aloe vera","Asphodelaceae","Aloe","fr",1
"Alonsoa caulialata","Scrophulariaceae","Alonsoa","fr",1
"Alopecurus pratensis","Poaceae","Alopecurus","fr",1
"Alpinia galanga","Zingiberaceae","Alpinia","fr",1
"Alpinia officinarum","Zingiberaceae","Alpinia","fr",1
"Althaea armeniaca","Malvaceae","Althaea","fr",1
"Althaea cannabina","Malvaceae","Althaea","fr",1
"Althaea officinalis","Malvaceae","Althaea","fr",1
"Alyssoides utriculata","Brassicaceae","Alyssoides","fr",1
"Alyssoides utriculata","Brassicaceae","Alyssoides","fr",1
"Alyssum alpestre","Brassicaceae","Odontarrhena","fr",1
"Alyssum alyssoides","Brassicaceae","Alyssum","fr",1
"Alyssum moellendorfianum","Brassicaceae","Alyssum","fr",1
"Alyssum montanum","Brassicaceae","Alyssum","fr",1
"Alyssum murale","Brassicaceae","Odontarrhena","fr",1
"Amaranthus albus","Amaranthaceae","Amaranthus","fr",1
"Amaranthus caudatus","Amaranthaceae","Amaranthus","fr",1
"Amaranthus cruentus","Amaranthaceae","Amaranthus","fr",1
"Amaranthus hypochondriacus","Amaranthaceae","Amaranthus","fr",1
"Amaranthus hypochondriacus","Amaranthaceae","Amaranthus","fr",1
"Amaranthus retroflexus","Amaranthaceae","Amaranthus","fr",1
"Amaryllis belladonna","Amaryllidaceae","Amaryllis","fr",1
"Ambrosia trifida","Asteraceae","Ambrosia","fr",1
"Amelanchier canadensis","Rosaceae","Amelanchier","fr",1
"Amelanchier ovalis","Rosaceae","Amelanchier","fr",1
"Amelanchier ovalis","Rosaceae","Amelanchier","fr",1
"Amelanchier ovalis","Rosaceae","Amelanchier","fr",1
"Ammannia rotundifolia","Lythraceae","Rotala","fr",1
"Ammi majus","Apiaceae","Ammi","fr",1
"Ammi visnaga","Apiaceae","Ammi","fr",1
"Ammi visnaga","Apiaceae","Ammi","fr",1
"Ammophila arenaria","Poaceae","Ammophila","fr",1
"Amorpha fruticosa","Fabaceae","Amorpha","fr",1
"Amorphophallus albus","Araceae","Amorphophallus","fr",1
"Amorphophallus konjac","Araceae","Amorphophallus","fr",1
"Ampelopsis aconitifolia","Vitaceae","Ampelopsis","fr",1
"Ampelopsis glandulosa","Vitaceae","Ampelopsis","fr",1
"Ampelopsis glandulosa","Vitaceae","Ampelopsis","fr",1
"Amphicarpaea bracteata","Fabaceae","Amphicarpaea","fr",1
"Amsonia illustris","Apocynaceae","Amsonia","fr",1
"Amsonia orientalis","Apocynaceae","Amsonia","fr",1
"Anacamptis sancta","Orchidaceae","Anacamptis","fr",1
"Anacyclus pyrethrum","Asteraceae","Anacyclus","fr",1
"Anagallis arvensis","Primulaceae","Anagallis","fr",1
"Anagallis tenella","Primulaceae","Anagallis","fr",1
"Ananas comosus","Bromeliaceae","Ananas","fr",1
"Ananas comosus","Bromeliaceae","Ananas","fr",1
"Anaphalis margaritacea","Asteraceae","Anaphalis","fr",1
"Anchusa arvensis","Boraginaceae","Anchusa","fr",1
"Anchusa cespitosa","Boraginaceae","Anchusa","fr",1
"Anchusa cespitosa","Boraginaceae","Anchusa","fr",1
"Anchusa officinalis","Boraginaceae","Anchusa","fr",1
"Andromeda polifolia","Ericaceae","Andromeda","fr",1
"Androsace carnea","Primulaceae","Androsace","fr",1
"Androsace chamaejasme","Primulaceae","Androsace","fr",1
"Androsace lactea","Primulaceae","Androsace","fr",1
"Androsace lactea","Primulaceae","Androsace","fr",1
"Androsace lactea","Primulaceae","Androsace","fr",1
"Androsace lactea","Primulaceae","Androsace","fr",1
"Androsace lactea","Primulaceae","Androsace","fr",1
"Androsace lactea","Primulaceae","Androsace","fr",1
"Androsace lactea","Primulaceae","Androsace","fr",1
"Androsace muscoidea","Primulaceae","Androsace","fr",1
"Androsace sarmentosa","Primulaceae","Androsace","fr",1
"Androsace sempervivoides","Primulaceae","Androsace","fr",1
"Androsace septentrionalis","Primulaceae","Androsace","fr",1
"Androsace villosa","Primulaceae","Androsace","fr",1
"Androsace vitaliana","Primulaceae","Androsace","fr",1
"Anemone baldensis","Ranunculaceae","Anemone","fr",1
"Anemone baldensis","Ranunculaceae","Anemone","fr",1
"Anemone blanda","Ranunculaceae","Anemone","fr",1
"Anemone blanda","Ranunculaceae","Anemone","fr",1
"Anemone canadensis","Ranunculaceae","Anemone","fr",1
"Anemone flavescens","Ranunculaceae","Anemone","fr",1
"Anemone hupehensis","Ranunculaceae","Anemone","fr",1
"Anemone leveillei","Ranunculaceae","Anemone","fr",1
"Anemone narcissiflora","Ranunculaceae","Anemone","fr",1
"Anemone narcissiflora","Ranunculaceae","Anemone","fr",1
"Anemone nemorosa","Ranunculaceae","Anemone","fr",1
"Anemone palmata","Ranunculaceae","Anemone","fr",1
"Anemone ranunculoides","Ranunculaceae","Anemone","fr",1
"Anemone ranunculoides","Ranunculaceae","Anemone","fr",1
"Anemone sylvestris","Ranunculaceae","Anemone","fr",1
"Anemone virginiana","Ranunculaceae","Anemone","fr",1
"Anethum graveolens","Apiaceae","Anethum","fr",1
"Angelica archangelica","Apiaceae","Angelica","fr",1
"Angelica archangelica","Apiaceae","Angelica","fr",1
"Angelica sylvestris","Apiaceae","Angelica","fr",1
"Angelica sylvestris","Apiaceae","Angelica","fr",1
"Annona cherimola","Annonaceae","Annona","fr",1
"Anoda cristata","Malvaceae","Anoda","fr",1
"Anredera cordifolia","Basellaceae","Anredera","fr",1
"Anthemis arvensis","Asteraceae","Anthemis","fr",1
"Anthemis cotula","Asteraceae","Anthemis","fr",1
"Anthemis tinctoria","Asteraceae","Cota","fr",1
"Anthericum liliago","Asparagaceae","Anthericum","fr",1
"Anthericum liliago","Asparagaceae","Anthericum","fr",1
"Anthericum ramosum","Asparagaceae","Anthericum","fr",1
"Anthericum ramosum","Asparagaceae","Anthericum","fr",1
"Anthericum ramosum","Asparagaceae","Anthericum","fr",1
"Anthericum ramosum","Asparagaceae","Anthericum","fr",1
"Anthoxanthum odoratum","Poaceae","Anthoxanthum","fr",1
"Anthriscus cerefolium","Apiaceae","Anthriscus","fr",1
"Anthriscus sylvestris","Apiaceae","Anthriscus","fr",1
"Anthurium andraeanum","Araceae","Anthurium","fr",1
"Anthurium bakeri","Araceae","Anthurium","fr",1
"Anthurium gracile","Araceae","Anthurium","fr",1
"Anthurium olfersianum","Araceae","Anthurium","fr",1
"Anthurium andraeanum","Araceae","Anthurium","fr",1
"Anthurium scherzerianum","Araceae","Anthurium","fr",1
"Anthyllis montana","Fabaceae","Anthyllis","fr",1
"Anthyllis vulneraria","Fabaceae","Anthyllis","fr",1
"Anthyllis vulneraria","Fabaceae","Anthyllis","fr",1
"Anthyllis vulneraria","Fabaceae","Anthyllis","fr",1
"Anthyllis vulneraria","Fabaceae","Anthyllis","fr",1
"Anthyllis vulneraria","Fabaceae","Anthyllis","fr",1
"Anticlea elegans","Melanthiaceae","Anticlea","fr",1
"Anticlea elegans","Melanthiaceae","Anticlea","fr",1
"Antigonon leptopus","Polygonaceae","Antigonon","fr",1
"Antirrhinum majus","Plantaginaceae","Antirrhinum","fr",1
"Aphelandra tetragona","Acanthaceae","Aphelandra","fr",1
"Aphyllanthes monspeliensis","Asparagaceae","Aphyllanthes","fr",1
"Apium graveolens","Apiaceae","Apium","fr",1
"Apium graveolens","Apiaceae","Apium","fr",1
"Apium graveolens","Apiaceae","Apium","fr",1
"Apium graveolens","Apiaceae","Apium","fr",1
"Apocynum venetum","Apocynaceae","Apocynum","fr",1
"Aponogeton distachyos","Aponogetonaceae","Aponogeton","fr",1
"Aposeris foetida","Asteraceae","Aposeris","fr",1
"Aptenia cordifolia","Aizoaceae","Mesembryanthemum","fr",1
"Aquilegia alpina","Ranunculaceae","Aquilegia","fr",1
"Aquilegia atrata","Ranunculaceae","Aquilegia","fr",1
"Aquilegia chrysantha","Ranunculaceae","Aquilegia","fr",1
"Aquilegia einseleana","Ranunculaceae","Aquilegia","fr",1
"Aquilegia alpina","Ranunculaceae","Aquilegia","fr",1
"Aquilegia nigricans","Ranunculaceae","Aquilegia","fr",1
"Aquilegia alpina","Ranunculaceae","Aquilegia","fr",1
"Aquilegia pyrenaica","Ranunculaceae","Aquilegia","fr",1
"Aquilegia pyrenaica","Ranunculaceae","Aquilegia","fr",1
"Aquilegia viridiflora","Ranunculaceae","Aquilegia","fr",1
"Aquilegia vulgaris","Ranunculaceae","Aquilegia","fr",1
"Arabidopsis thaliana","Brassicaceae","Arabidopsis","fr",1
"Arabis alpina","Brassicaceae","Arabis","fr",1
"Arabis alpina","Brassicaceae","Arabis","fr",1
"Arabis bellidifolia","Brassicaceae","Arabis","fr",1
"Arabis bellidifolia","Brassicaceae","Arabis","fr",1
"Arabis ciliata","Brassicaceae","Arabis","fr",1
"Arabis ciliata","Brassicaceae","Arabis","fr",1
"Arabis collina","Brassicaceae","Arabis","fr",1
"Arabis hirsuta","Brassicaceae","Arabis","fr",1
"Arabis hirsuta","Brassicaceae","Arabis","fr",1
"Arabis hirsuta","Brassicaceae","Arabis","fr",1
"Arabis rosea","Brassicaceae","Arabis","fr",1
"Arabis rosea","Brassicaceae","Arabis","fr",1
"Arabis scopoliana","Brassicaceae","Arabis","fr",1
"Arabis subcoriacea","Brassicaceae","Arabis","fr",1
"Arabis subcoriacea","Brassicaceae","Arabis","fr",1
"Arabis turrita","Brassicaceae","Pseudoturritis","fr",1
"Arachis hypogaea","Fabaceae","Arachis","fr",1
"Aralia elata","Araliaceae","Aralia","fr",1
"Araucaria araucana","Araucariaceae","Araucaria","fr",1
"Arctium lappa","Asteraceae","Arctium","fr",1
"Arctium tomentosum","Asteraceae","Arctium","fr",1
"Arctostaphylos uva-ursi","Ericaceae","Arctostaphylos","fr",1
"Arctostaphylos uva-ursi","Ericaceae","Arctostaphylos","fr",1
"Arctostaphylos uva-ursi","Ericaceae","Arctostaphylos","fr",1
"Arctotis venusta","Asteraceae","Arctotis","fr",1
"Arenaria blepharophylla","Caryophyllaceae","Eremogone","fr",1
"Arenaria ciliata","Caryophyllaceae","Arenaria","fr",1
"Arenaria ciliata","Caryophyllaceae","Arenaria","fr",1
"Arenaria ciliata","Caryophyllaceae","Arenaria","fr",1
"Arenaria grandiflora","Caryophyllaceae","Arenaria","fr",1
"Arenaria blepharophylla","Caryophyllaceae","Eremogone","fr",1
"Arenaria multicaulis","Caryophyllaceae","Arenaria","fr",1
"Arenaria procera","Caryophyllaceae","Eremogone","fr",1
"Arenaria pulvinata","Caryophyllaceae","Eremogone","fr",1
"Arenaria pulvinata","Caryophyllaceae","Eremogone","fr",1
"Arenaria pungens","Caryophyllaceae","Arenaria","fr",1
"Arenaria serpyllifolia","Caryophyllaceae","Arenaria","fr",1
"Arenaria tetraquetra","Caryophyllaceae","Arenaria","fr",1
"Arenaria tmolea","Caryophyllaceae","Arenaria","fr",1
"Genista pilosa","Sapotaceae","Genista","fr",1
"Argemone mexicana","Papaveraceae","Argemone","fr",1
"Argyranthemum frutescens","Asteraceae","Argyranthemum","fr",1
"Aristolochia arborea","Aristolochiaceae","Aristolochia","fr",1
"Aristolochia clematitis","Aristolochiaceae","Aristolochia","fr",1
"Aristolochia clematitis","Aristolochiaceae","Aristolochia","fr",1
"Aristolochia grandiflora","Aristolochiaceae","Aristolochia","fr",1
"Aristolochia littoralis","Aristolochiaceae","Aristolochia","fr",1
"Aristolochia macrophylla","Aristolochiaceae","Aristolochia","fr",1
"Aristolochia rotunda","Aristolochiaceae","Aristolochia","fr",1
"Armeria alpina","Plumbaginaceae","Armeria","fr",1
"Armeria alpina","Plumbaginaceae","Armeria","fr",1
"Armeria arenaria","Plumbaginaceae","Armeria","fr",1
"Armeria arenaria","Plumbaginaceae","Armeria","fr",1
"Armeria arenaria","Plumbaginaceae","Armeria","fr",1
